rebalance_date,rank,symbol,score,weight
2016-12-31,3,OKE,2.2508678585118114,0.05
2016-12-31,4,STX,2.0553776479159707,0.05
2016-12-31,5,CHKAQ-202102,1.9741654926386574,0.05
2016-12-31,6,AMAT,1.9673988212055824,0.05
2016-12-31,7,GEN,1.938789315102209,0.05
2016-12-31,8,BBY,1.8816582397768833,0.05
2016-12-31,9,PWR,1.8223108874657048,0.05
2016-12-31,10,SE-201702,1.774048591643035,0.05
2016-12-31,11,HPE,1.7021695246098174,0.05
2016-12-31,12,NUE,1.6064266502243458,0.05
2016-12-31,13,UAL,1.5754726497417328,0.05
2016-12-31,14,MS,1.5750035912931903,0.05
2016-12-31,15,NAVI,1.5709884237316614,0.05
2016-12-31,16,MU,1.5660650446986122,0.05
2016-12-31,17,ZION,1.5477169232713308,0.05
2016-12-31,18,RF,1.5291036046657778,0.05
2016-12-31,19,CMA,1.5181116314636507,0.05
2016-12-31,20,URI,1.4956077622117854,0.05
2017-01-31,1,NVDA,4.695771312984716,0.05
2017-01-31,2,OKE,2.3103050481413456,0.05
2017-01-31,3,CMA,2.196172180587592,0.05
2017-01-31,4,ZION,2.1858090245711357,0.05
2017-01-31,5,RF,2.0723602485855808,0.05
2017-01-31,6,CHKAQ-202102,1.9980593506782216,0.05
2017-01-31,7,PWR,1.9874869714654717,0.05
2017-01-31,8,MU,1.8958287639354776,0.05
2017-01-31,9,KEY,1.8359869195633034,0.05
2017-01-31,10,LNC,1.8092644920992833,0.05
2017-01-31,11,UAL,1.7433768045214713,0.05
2017-01-31,12,AMAT,1.730318777468551,0.05
2017-01-31,13,URI,1.7143287580465691,0.05
2017-01-31,14,BAC,1.6949191440160278,0.05
2017-01-31,15,MS,1.6868908132132647,0.05
2017-01-31,16,GS,1.6239170239435723,0.05
2017-01-31,17,FCX,1.5862424542895663,0.05
2017-01-31,18,FITB,1.5438857706620572,0.05
2017-01-31,19,NAVI,1.4626659092316083,0.05
2017-01-31,20,BKR,1.4328913748209653,0.05
2017-02-28,1,NVDA,4.17292725628806,0.05
2017-02-28,2,FCX,2.8954852830009266,0.05
2017-02-28,3,URI,2.864166302313069,0.05
2017-02-28,4,MU,2.7646217341634327,0.05
2017-02-28,5,CSX,2.4763912446202894,0.05
2017-02-28,6,WDC,2.1807919287690485,0.05
2017-02-28,7,CMA,2.1275201472942484,0.05
2017-02-28,8,RF,2.08394524685777,0.05
2017-02-28,9,ZION,2.0201647479851634,0.05
2017-02-28,10,OKE,1.955987170439399,0.05
2017-02-28,11,LNC,1.9481542189973844,0.05
2017-02-28,12,PWR,1.8219647681483195,0.05
2017-02-28,13,BAC,1.821642700358558,0.05
2017-02-28,14,NTAP,1.81894167825374,0.05
2017-02-28,15,KEY,1.793695766308564,0.05
2017-02-28,16,MS,1.73249989848909,0.05
2017-02-28,17,AMAT,1.680637952899834,0.05
2017-02-28,18,STX,1.6748254226940187,0.05
2017-02-28,19,NFLX,1.6322340511304003,0.05
2017-02-28,20,ETFC-202010,1.6137241036124115,0.05
2017-03-31,1,NVDA,3.474795320943678,0.05
2017-03-31,2,URI,2.678261248052161,0.05
